,STRUCTURE_NUMBER_008,Year,LAT_016,LONG_017,YEAR_BUILT_027,DECK_COND_058,DECK_STRUCTURE_TYPE_107
85,000000001000590,2013,44014757.0,75403626.0,1931.0,7,1
86,000000001000590,2014,44014757.0,75403626.0,1931.0,7,1
87,000000001000590,2015,44014757.0,75403626.0,1931.0,7,1
88,000000001000590,2016,44014757.0,75403626.0,1931.0,7,1
89,000000001000590,2017,44014739.0,75403611.0,1931.0,7,1
90,000000001000590,2018,44014739.0,75403611.0,1931.0,7,1
91,000000001000590,2019,44014739.0,75403611.0,1931.0,6,1
92,000000001000590,2020,44014739.0,75403611.0,1931.0,6,1
93,000000001000590,2021,44014739.0,75403611.0,1931.0,6,1
94,000000001000590,2022,44014739.0,75403611.0,1931.0,6,1
95,000000001000590,2023,44014739.0,75403611.0,1931.0,6,1
96,000000001000640,1992,44085400.0,75190600.0,1987.0,8,1
97,000000001000640,1993,44085400.0,75190600.0,1987.0,8,1
98,000000001000640,1994,44085400.0,75190600.0,1987.0,8,1
99,000000001000640,1995,44085400.0,75190600.0,1987.0,8,1
100,000000001000640,1996,44085400.0,75190600.0,1987.0,8,1
101,000000001000640,1997,44085400.0,75190600.0,1987.0,8,1
102,000000001000640,1998,44085400.0,75190600.0,1987.0,8,1
103,000000001000640,1999,44085400.0,75190600.0,1987.0,8,1
104,000000001000640,2000,44085400.0,75190600.0,1987.0,8,1
105,000000001000640,2001,44085400.0,75190600.0,1987.0,8,1
106,000000001000640,2002,44085400.0,75190600.0,1987.0,8,1
107,000000001000640,2003,44085400.0,75190600.0,1987.0,8,1
108,000000001000640,2004,44085595.0,75190256.0,1987.0,8,1
109,000000001000640,2005,44085595.0,75190256.0,1987.0,8,1
110,000000001000640,2006,44085595.0,75190256.0,1987.0,8,1
111,000000001000640,2007,44085595.0,75190256.0,1987.0,8,1
112,000000001000640,2008,44085595.0,75190256.0,1987.0,8,1
113,000000001000640,2009,44085595.0,75190256.0,1987.0,8,1
114,000000001000640,2010,44085595.0,75190256.0,1987.0,8,1
115,000000001000640,2011,44085595.0,75190256.0,1987.0,8,1
116,000000001000640,2012,44085595.0,75190256.0,1987.0,8,1
117,000000001000640,2013,44085595.0,75190256.0,1987.0,8,1
118,000000001000640,2014,44085595.0,75190256.0,1987.0,7,1
119,000000001000640,2015,44085595.0,75190256.0,1987.0,7,1
120,000000001000640,2016,44085595.0,75190256.0,1987.0,7,1
121,000000001000640,2017,44085671.0,75190374.0,1987.0,7,1
122,000000001000640,2018,44085671.0,75190374.0,1987.0,7,1
123,000000001000640,2019,44085671.0,75190374.0,1987.0,7,1
124,000000001000640,2020,44085671.0,75190374.0,1987.0,7,1
125,000000001000640,2021,44085671.0,75190374.0,1987.0,7,1
126,000000001000640,2022,44085671.0,75190374.0,1987.0,7,1
127,000000001000640,2023,44085671.0,75190374.0,1987.0,7,1
128,000000001000660,1992,44105400.0,75165400.0,1930.0,4,1
129,000000001000660,1993,44105400.0,75165400.0,1930.0,4,1
130,000000001000660,1994,44105400.0,75165400.0,1930.0,4,1
131,000000001000660,1995,44105400.0,75165400.0,1930.0,4,1
132,000000001000660,1996,44105400.0,75165400.0,1930.0,4,1
133,000000001000660,1997,44105400.0,75165400.0,1930.0,4,1
134,000000001000660,1998,44105400.0,75165400.0,1930.0,4,1
135,000000001000660,1999,44105400.0,75165400.0,1930.0,4,1
136,000000001000660,2000,44105400.0,75165400.0,1930.0,3,1
137,000000001000660,2001,44105400.0,75165400.0,1930.0,3,1
138,000000001000660,2002,44105400.0,75165400.0,1930.0,3,1
139,000000001000660,2003,44105400.0,75165400.0,1930.0,3,1
140,000000001000660,2004,44105332.0,75165195.0,1930.0,3,1
141,000000001000660,2005,44105332.0,75165195.0,1930.0,3,1
142,000000001000660,2006,44105332.0,75165195.0,1930.0,3,1
143,000000001000660,2007,44105332.0,75165195.0,1930.0,3,1
144,000000001000720,1992,44145400.0,74463000.0,1980.0,8,1
145,000000001000720,1993,44145400.0,74463000.0,1980.0,8,1
146,000000001000720,1994,44145400.0,74463000.0,1980.0,8,1
147,000000001000720,1995,44145400.0,74463000.0,1980.0,8,1
148,000000001000720,1996,44145400.0,74463000.0,1980.0,8,1
149,000000001000720,1997,44145400.0,74463000.0,1980.0,8,1
150,000000001000720,1998,44145400.0,74463000.0,1980.0,8,1
151,000000001000720,1999,44145400.0,74463000.0,1980.0,8,1
152,000000001000720,2000,44145400.0,74463000.0,1980.0,7,1
153,000000001000720,2001,44145400.0,74463000.0,1980.0,7,1
154,000000001000720,2002,44145400.0,74463000.0,1980.0,7,1
155,000000001000720,2003,44145400.0,74463000.0,1980.0,7,1
156,000000001000720,2004,44145353.0,74463024.0,1980.0,7,1
157,000000001000720,2005,44145353.0,74463024.0,1980.0,7,1
158,000000001000720,2006,44145353.0,74463024.0,1980.0,7,1
159,000000001000720,2007,44145353.0,74463024.0,1980.0,7,1
160,000000001000720,2008,44145353.0,74463024.0,1980.0,7,1
161,000000001000720,2009,44145353.0,74463024.0,1980.0,7,1
162,000000001000720,2010,44145353.0,74463024.0,1980.0,7,1
163,000000001000720,2011,44145353.0,74463024.0,1980.0,7,1
164,000000001000720,2012,44145353.0,74463024.0,1980.0,7,1
165,000000001000720,2013,44145353.0,74463024.0,1980.0,7,1
166,000000001000720,2014,44145353.0,74463024.0,1980.0,7,1
167,000000001000720,2015,44145353.0,74463024.0,1980.0,7,1
168,000000001000720,2016,44145353.0,74463024.0,1980.0,7,1
169,000000001000720,2017,44145159.0,74463855.0,1980.0,7,1
170,000000001000720,2018,44145159.0,74463855.0,1980.0,7,1
171,000000001000720,2019,44145159.0,74463855.0,1980.0,7,1
172,000000001000720,2020,44145159.0,74463855.0,1980.0,7,1
173,000000001000720,2021,44145159.0,74463855.0,1980.0,7,1
174,000000001000720,2022,44145159.0,74463855.0,1980.0,6,1
175,000000001000720,2023,44145159.0,74463855.0,1980.0,6,1
176,000000001001210,1992,42242400.0,79274200.0,1991.0,8,1
177,000000001001210,1993,42242400.0,79274200.0,1991.0,8,1
178,000000001001210,1994,42242400.0,79274200.0,1991.0,8,1
179,000000001001210,1995,42242400.0,79274200.0,1991.0,8,1
180,000000001001210,1996,42242400.0,79274200.0,1991.0,8,1
181,000000001001210,1997,42242400.0,79274200.0,1991.0,8,1
182,000000001001210,1998,42242400.0,79274200.0,1991.0,8,1
183,000000001001210,1999,42242400.0,79274200.0,1991.0,8,1
184,000000001001210,2000,42242400.0,79274200.0,1991.0,8,1
185,000000001001210,2001,42242400.0,79274200.0,1991.0,8,1
186,000000001001210,2002,42242400.0,79274200.0,1991.0,8,1
187,000000001001210,2003,42242400.0,79274200.0,1991.0,8,1
188,000000001001210,2004,42242351.0,79274126.0,1991.0,8,1
189,000000001001210,2005,42242351.0,79274126.0,1991.0,8,1
190,000000001001210,2006,42242351.0,79274126.0,1991.0,8,1
191,000000001001210,2007,42242351.0,79274126.0,1991.0,8,1
192,000000001001210,2008,42242351.0,79274126.0,1991.0,8,1
193,000000001001210,2009,42242351.0,79274126.0,1991.0,8,1
194,000000001001210,2010,42242351.0,79274126.0,1991.0,8,1
195,000000001001210,2011,42242351.0,79274126.0,1991.0,8,1
196,000000001001210,2012,42242351.0,79274126.0,1991.0,8,1
197,000000001001210,2013,42242351.0,79274126.0,1991.0,8,1
198,000000001001210,2014,42242351.0,79274126.0,1991.0,8,1
199,000000001001210,2015,42242351.0,79274126.0,1991.0,8,1
200,000000001001210,2016,42242351.0,79274126.0,1991.0,8,1
201,000000001001210,2017,42242363.0,79274062.0,1991.0,8,1
202,000000001001210,2018,42242363.0,79274062.0,1991.0,8,1
203,000000001001210,2019,42242363.0,79274062.0,1991.0,8,1
204,000000001001210,2020,42242363.0,79274062.0,1991.0,7,1
205,000000001001210,2021,42242363.0,79274062.0,1991.0,7,1
206,000000001001210,2022,42242363.0,79274062.0,1991.0,7,1
207,000000001001210,2023,42242363.0,79274062.0,1991.0,7,1
208,000000001001520,2001,42500000.0,78511200.0,1991.0,9,1
209,000000001001520,2002,42500000.0,78511200.0,1991.0,9,1
210,000000001001520,2003,42500000.0,78511800.0,1991.0,9,1
211,000000001001520,2004,42500162.0,78511533.0,1991.0,9,1
212,000000001001520,2005,42500162.0,78511533.0,1991.0,9,1
213,000000001001520,2006,42500162.0,78511533.0,1991.0,9,1
214,000000001001520,2007,42500162.0,78511533.0,1991.0,8,1
215,000000001001520,2008,42500162.0,78511533.0,1991.0,8,1
216,000000001001520,2009,42500162.0,78511533.0,1991.0,8,1
217,000000001001520,2010,42500162.0,78511533.0,1991.0,8,1
218,000000001001520,2011,42500162.0,78511533.0,1991.0,8,1
219,000000001001520,2012,42500162.0,78511533.0,1991.0,8,1
220,000000001001520,2013,42500162.0,78511533.0,1991.0,8,1
221,000000001001520,2014,42500162.0,78511533.0,1991.0,8,1
222,000000001001520,2015,42500162.0,78511533.0,1991.0,8,1
223,000000001001520,2016,42500162.0,78511533.0,1991.0,8,1
224,000000001001520,2017,42500160.0,78511416.0,1991.0,7,1
225,000000001001520,2018,42500160.0,78511416.0,1991.0,7,1
